service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS419-1-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-10-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-11-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-12-Su-02,0,0,0,0,0,0,1,20190908,20191117
BUS419-13-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-14-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-15-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-16-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-17-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-18-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-19-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-1A-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-2-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-3-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-4-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-5-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-6-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-7-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-8-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-9-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-A-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-B-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-C-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-D-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-E-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-F-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-G-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-H-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-I-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-J-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-K-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-L-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-M-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-N-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-O-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-P-Wdy-02,1,1,1,1,1,0,0,20190905,20191220
BUS419-Q-Sa-02,0,0,0,0,0,1,0,20190907,20191221
BUS419-R-Su-02,0,0,0,0,0,0,1,20190908,20191215
BUS419-S-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-T-Wdy-02,1,0,0,0,1,0,0,20191014,20191014
BUS419-U-Su-02,0,0,0,1,0,0,0,20191128,20191128
BUS419-V-Wdy-02,0,0,0,0,1,0,0,20191129,20191129
BUS419-W-Wdy-02,1,0,0,0,0,0,0,20191014,20191014
BUS419-X-Wdy-02,1,1,1,0,0,0,0,20191125,20191127
BUS419-Y-Sa-02,0,0,0,0,0,1,0,20191123,20191130
BUS419-Z-Su-02,0,0,0,0,0,0,1,20191124,20191201
Boat-F1-Frd,0,0,0,0,1,0,0,20190906,20191220
Boat-F1-FrdSmr,0,0,0,0,1,0,0,20190906,20191011
Boat-F1-Snd,0,0,0,0,0,0,1,20190908,20191013
Boat-F1-Std,0,0,0,0,0,1,0,20190907,20191012
Boat-F1-Wkd,1,1,1,1,0,0,0,20191015,20191219
Boat-F1-WkdSmr,1,1,1,1,0,0,0,20190905,20191014
Boat-F4-Snd,0,0,0,0,0,0,1,20190908,20191215
Boat-F4-Std,0,0,0,0,0,1,0,20190907,20191221
Boat-F4-Wkd,1,1,1,1,1,0,0,20190905,20191220
CR-Foxboro-Su-1300,0,0,0,0,0,0,1,20190922,20190922
CR-Foxboro-Su-1625,0,0,0,1,0,0,1,20191124,20191128
CR-Foxboro-Su-2020,0,0,0,1,0,0,0,20191010,20191010
CR-Foxboro-Su-2030,0,0,0,0,0,0,1,20190908,20190908
CR-Foxboro-SuExtra-1300,0,0,0,0,0,0,1,20190922,20190922
CR-Sa-Fairmount-Spr-19,0,0,0,0,0,1,0,20190907,20191221
CR-Sa-Fitchburg-Spr-19,0,0,0,0,0,1,0,20191102,20191221
CR-Sa-Fitchburg-Spr-19-FtgGLX,0,0,0,0,0,1,0,20190907,20191026
