service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality
BUS419-1-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-10-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-11-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-12-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-13-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-14-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-15-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-16-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-17-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-18-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-19-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-1A-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-2-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-3-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-4-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-5-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-6-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-7-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-8-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-9-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-A-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-B-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-C-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-D-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-E-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-F-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-G-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-H-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-I-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-J-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-K-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-L-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-M-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-N-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-O-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-P-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS419-Q-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS419-R-Su-02,Sunday schedule,Sunday,Sunday,1
BUS419-S-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
BUS419-T-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1
BUS419-U-Su-02,Holiday (Sunday schedule),Holiday,Sunday,3
