route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Ashmont,,1,10010051,41527103
Red-3-0,Red,0,Braintree,,1,10010052,41527114
Red-1-1,Red,1,Alewife,,1,10010151,41527094
Red-3-1,Red,1,Alewife,,1,10010152,41527109
Mattapan-_-0,Mattapan,0,Mattapan,,1,10011000,41845249
Mattapan-_-1,Mattapan,1,Ashmont,,1,10011100,41845179
Orange-3-0,Orange,0,Forest Hills,,1,10020000,41131872-20:15-OakGroveWellington
Orange-5-0,Orange,0,Forest Hills,Weekdays only,3,10020099,41131856-20:15-OakGroveWellington
Orange-3-1,Orange,1,Oak Grove,,1,10020100,41131875-20:15-OakGroveWellington
Green-B-3-0,Green-B,0,Boston College,,1,10032000,41836999-RedSox-1-22:30-NewtonHighlandsKenmore
Green-B-0-0,Green-B,0,Boston College,Weekend early mornings only,3,10032099,41845673
Green-B-3-1,Green-B,1,Park Street,,1,10032100,41836904-RedSox-1-22:30-NewtonHighlandsKenmore
Green-B-0-1,Green-B,1,Lechmere,Weekend early mornings only,3,10032199,41845672
Green-C-1-0,Green-C,0,Cleveland Circle,,1,10033000,41836917-RedSox-1-22:30-NewtonHighlandsKenmore
Green-C-0-0,Green-C,0,Cleveland Circle,,3,10033099,41836915-RedSox-1-22:30-NewtonHighlandsKenmore
Green-C-1-1,Green-C,1,North Station,,1,10033100,41836909-RedSox-1-22:30-NewtonHighlandsKenmore
Green-C-0-1,Green-C,1,Lechmere,Early mornings only,3,10033199,41836905-RedSox-1-22:30-NewtonHighlandsKenmore
Green-D-2-0,Green-D,0,Riverside,,1,10034003,41837545-RedSox-1-22:30-NewtonHighlandsKenmore
Green-D-6-0,Green-D,0,Riverside,Weekday evenings only,3,10034097,41839111-RedSox-1-22:30-NewtonHighlandsKenmore2
Green-D-0-0,Green-D,0,Riverside,Weekdays only,3,10034099,41838310-RedSox-1-22:30-NewtonHighlandsKenmore
Green-D-4-0,Green-D,0,Reservoir,Weekdays only,3,10034099,41837318-RedSox-1-22:30-NewtonHighlandsKenmore
Green-D-2-1,Green-D,1,Government Center,,1,10034104,41836896-RedSox-1-22:30-NewtonHighlandsKenmore
